date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:41:50	391/391	---MCZ	200	added ('OK')	text/plain	date:Sat,%2007%20Oct%202023%2014:41:50%20GMT	https://emkoprototip.wordpress.com/robots.txt		(from )
16:41:50	167426/167426	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202023%2014:41:50%20GMT	https://emkoprototip.wordpress.com/	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.wordpress.com/index.html	(from )
16:41:51	6601/6601	---MCZ	200	added ('OK')	text/css	etag:W/%2264b8d078-19c9%22	https://s1.wp.com/_static/??/wp-content/blog-plugins/wordads/global.css,/wp-content/blog-plugins/marketing-bar/css/marketing-bar.css?m=1689833584j&cssminify=yes	C:/My%20Web%20Sites/Emko%20Final/s1.wp.com/_static/indexaa3b.html	(from https://emkoprototip.wordpress.com/)
16:41:51	862/862	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22399ef00d28e617bc7343571f5e8fa986%22	https://emkoprototip.wordpress.com/comments/feed/	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.wordpress.com/comments/feed/index.html	(from https://emkoprototip.wordpress.com/)
16:41:51	16270/16270	---MCZ	200	added ('OK')	text/css	etag:W/16285-1694041175046.1665	https://s0.wp.com/wp-content/plugins/gutenberg-core/v16.6.0/build/block-library/blocks/navigation/style.css?m=1694041159i&cssminify=yes	C:/My%20Web%20Sites/Emko%20Final/s0.wp.com/wp-content/plugins/gutenberg-core/v16.6.0/build/block-library/blocks/navigation/style1dda.css	(from https://emkoprototip.wordpress.com/)
16:41:52	357472/357472	---MCZ	200	added ('OK')	application/rss+xml	date:Sat,%2007%20Oct%202023%2014:41:51%20GMT	https://emkoprototip.wordpress.com/feed/	C:/My%20Web%20Sites/Emko%20Final/emkoprototip.wordpress.com/feed/index.html	(from https://emkoprototip.wordpress.com/)
16:41:52	16778/16778	---MCZ	200	added ('OK')	text/css	etag:W/16784-1694041174969.4788	https://s0.wp.com/wp-content/plugins/gutenberg-core/v16.6.0/build/block-library/blocks/cover/style.css?m=1694041159i&cssminify=yes	C:/My%20Web%20Sites/Emko%20Final/s0.wp.com/wp-content/plugins/gutenberg-core/v16.6.0/build/block-library/blocks/cover/style1dda.css	(from https://emkoprototip.wordpress.com/)
16:41:52	10067/10067	---MCZ	200	added ('OK')	text/css	etag:W/10069-1694041175397.9766	https://s0.wp.com/wp-content/plugins/gutenberg-core/v16.6.0/build/block-library/blocks/social-links/style.css?m=1694041159i&cssminify=yes	C:/My%20Web%20Sites/Emko%20Final/s0.wp.com/wp-content/plugins/gutenberg-core/v16.6.0/build/block-library/blocks/social-links/style1dda.css	(from https://emkoprototip.wordpress.com/)
16:41:52	369/369	---M--	200	added ('OK')	text/css	etag:%226466d593-171%22	https://s1.wp.com/_static/??/wp-content/mu-plugins/core-compat/wp-mediaelement.css,/wp-content/mu-plugins/wpcom-bbpress-premium-themes.css?m=1432920480j&cssminify=yes	C:/My%20Web%20Sites/Emko%20Final/s1.wp.com/_static/indexd02a.html	(from https://emkoprototip.wordpress.com/)
16:41:52	311/311	---M--	200	added ('OK')	text/css	etag:W/471-1684460928880.9634	https://s2.wp.com/wp-content/themes/h4/global.css?m=1420737423i&cssminify=yes	C:/My%20Web%20Sites/Emko%20Final/s2.wp.com/wp-content/themes/h4/globalf753.css	(from https://emkoprototip.wordpress.com/)
